#,Year,Last Name,First Name,Title,Subtitle
X,1957,Rand,Ayn,Atlas Shrugged,
X,1997,Lynch,David,Lynch por Lynch,
X,1961,Knuttel,Gerard,Van Gogh,
X,1943,Foote Whyte,William,Street Corner Society,The Social Structure of an Italian Slum
X,1991,Calvino,Italo,Por qué leer los clásicos,
X,1960,Canetti,Elias,Masa y poder,
X,1965,Coser,Lewis A.,Men of Ideas,
X,1985,Ekman,Paul,Telling Lies,Clues to Deceit in the Marketplace Politics and Marriage
X,2012,Alarcón,Cristian,Cuando me muera quiero que me toquen cumbia,Vidas de pibes chorros
X,2005,Wallace,David Foster,Consider the Lobster and Other Essays,
X,1963,Arendt,Hannah,Eichmann in Jerusalem,A Report on the Banality of Evil
X,1999,Nancy,Jean-Luc,La ciudad a lo lejos,
X,2004,de Posfay,Guillermo,Naturo,
X,2002,de Posfay,Guillermo,Allegro Andante,
X,2017,Watson,Ashleigh,So Fi Zine #1,
X,Year,Last Name,First Name,Title,Subtitle
X,Year,Last Name,First Name,Title,Subtitle
X,Year,Last Name,First Name,Title,Subtitle
