#,Year,Title,Subtitle,Last Name,First Name
1,2016,Exhalaciones,,Sanoj,Eusebio
2,2016,Inspiraciones,,Juarez,Benjamin
3,1996,Guia del Usuario para el Nuevo Milenio,Ensayos y Reseñas,Ballard,James Graham
4,1986,Watchmen,,Moore,Alan
5,1982,Art Worlds,,Becker,Howard S.
6,1983,Sociologia de la Cultura y de la Historia,Analisis Macrosociologico,Diaz Bialet,Alberto
7,2014,What About Mozart? What About Murder?,Reasoning From Cases ,Becker,Howard S.
8,2007(1986),"Manual de escritura para científicos sociales
","Cómo empezar y terminar una tesis, un libro o un artículo",Becker,Howard S.
9,2008(1982),Los Mundos del Arte,Sociología del trabajo artístico,Becker,Howard S.
10,2007,Obras Completas,Tomo I,Kusch,Rodolfo
11,"1849, 1862","Civil Disobedience, Walking and Other Essays",,Thoreau,Henry David 
12,1972,Las Ciudades Invisibles,,Calvino,Italo
13,2012(1965),As Coisas,Uma Historia dos Anos Sessenta ,Perec,Georges
14,2010,Por Dentro Todo Esta Permitido,"Reseñas, retratos y ensayos
",Barón Biza,Jorge 
15,2013,Aguafuertes cariocas,Crónicas inéditas desde Río de Janeiro,Arlt,Roberto 
16,2010(2007),Cómo hablar de los libros que no se han leído,,Bayard,Pierre
17,2002(1908),Cuestiones Fundamentales de Sociologia,,Simmel,Georg
18,2013(1898),Las Leyes Sociales,,Tarde,Gabriel
19,2006(1893),Monadología y Sociología,,Tarde,Gabriel
20,1972(1962),El socialismo,,Durkheim,Émile
21,2009,"La economía, ciencia de los intereses apasionados",Introducción a la antropología económica de Gabriel Tarde ,Latour. Lépinay,Bruno. Vincent Antonin 
